year,gacc,acres,source_report
2013,NR,179459,annual_report_2023.pdf
2013,NW,503993,annual_report_2023.pdf
2013,RM,237121,annual_report_2023.pdf
2013,SA,182650,annual_report_2023.pdf
2013,SO,412481,annual_report_2023.pdf
2013,SW,325985,annual_report_2023.pdf
2014,AK,233561,annual_report_2024.pdf
2014,EA,54141,annual_report_2024.pdf
2014,GB,164802,annual_report_2024.pdf
2014,NO,474826,annual_report_2024.pdf
2014,NR,143271,annual_report_2024.pdf
2014,NW,1383514,annual_report_2024.pdf
2014,RM,78345,annual_report_2024.pdf
2014,SA,752694,annual_report_2024.pdf
2014,SO,80218,annual_report_2024.pdf
2014,SW,230241,annual_report_2024.pdf
2015,AK,5111404,annual_report_2025.pdf
2015,EA,100294,annual_report_2025.pdf
2015,GB,505483,annual_report_2025.pdf
2015,NO,594048,annual_report_2025.pdf
2015,NR,745947,annual_report_2025.pdf
2015,NW,1823473,annual_report_2025.pdf
2015,RM,180822,annual_report_2025.pdf
2015,SA,556267,annual_report_2025.pdf
2015,SO,304925,annual_report_2025.pdf
2015,SW,202486,annual_report_2025.pdf
2016,AK,496467,annual_report_2025.pdf
2016,EA,98042,annual_report_2025.pdf
2016,GB,761622,annual_report_2025.pdf
2016,NO,96706,annual_report_2025.pdf
2016,NR,202140,annual_report_2025.pdf
2016,NW,513226,annual_report_2025.pdf
2016,RM,686921,annual_report_2025.pdf
2016,SA,1591044,annual_report_2025.pdf
2016,SO,479207,annual_report_2025.pdf
2016,SW,584620,annual_report_2025.pdf
2017,AK,653023,annual_report_2025.pdf
2017,EA,41705,annual_report_2025.pdf
2017,GB,2103788,annual_report_2025.pdf
2017,NO,672448,annual_report_2025.pdf
2017,NR,1551275,annual_report_2025.pdf
2017,NW,1121442,annual_report_2025.pdf
2017,RM,754747,annual_report_2025.pdf
2017,SA,1960764,annual_report_2025.pdf
2017,SO,595873,annual_report_2025.pdf
2017,SW,571021,annual_report_2025.pdf
2018,AK,410683,annual_report_2025.pdf
2018,EA,50734,annual_report_2025.pdf
2018,GB,2087922,annual_report_2025.pdf
2018,NO,1496950,annual_report_2025.pdf
2018,NR,147093,annual_report_2025.pdf
2018,NW,1336096,annual_report_2025.pdf
2018,RM,748956,annual_report_2025.pdf
2018,SA,1591101,annual_report_2025.pdf
2018,SO,348722,annual_report_2025.pdf
2018,SW,549235,annual_report_2025.pdf
2019,AK,2498159,annual_report_2025.pdf
2019,EA,38852,annual_report_2025.pdf
2019,GB,459384,annual_report_2025.pdf
2019,NO,214742,annual_report_2025.pdf
2019,NR,74042,annual_report_2025.pdf
2019,NW,249476,annual_report_2025.pdf
2019,RM,114685,annual_report_2025.pdf
2019,SA,498925,annual_report_2025.pdf
2019,SO,55092,annual_report_2025.pdf
2019,SW,461005,annual_report_2025.pdf
2020,AK,181169,annual_report_2025.pdf
2020,EA,63036,annual_report_2025.pdf
2020,GB,948812,annual_report_2025.pdf
2020,NO,2779003,annual_report_2025.pdf
2020,NR,403046,annual_report_2025.pdf
2020,NW,1983970,annual_report_2025.pdf
2020,RM,1021951,annual_report_2025.pdf
2020,SA,556902,annual_report_2025.pdf
2020,SO,1144214,annual_report_2025.pdf
2020,SW,1040233,annual_report_2025.pdf
2021,AK,253356,annual_report_2025.pdf
2021,EA,152669,annual_report_2025.pdf
2021,GB,373165,annual_report_2025.pdf
2021,NO,1945506,annual_report_2025.pdf
2021,NR,1069660,annual_report_2025.pdf
2021,NW,1503026,annual_report_2025.pdf
2021,RM,336187,annual_report_2025.pdf
2021,SA,532835,annual_report_2025.pdf
2021,SO,320378,annual_report_2025.pdf
2021,SW,638861,annual_report_2025.pdf
