Name,MapDate,DSCI
Western,20080101,195
Western,20080108,182
Western,20080115,181
Western,20080122,173
Western,20080129,151
Western,20080205,144
Western,20080212,132
Western,20080219,131
Western,20080226,125
Western,20080304,117
Western,20080311,117
Western,20080318,117
Western,20080325,118
Western,20080401,107
Western,20080408,96
Western,20080415,100
Western,20080422,99
Western,20080429,113
Western,20080506,111
Western,20080513,111
Western,20080520,110
Western,20080527,88
Western,20080603,97
Western,20080610,94
Western,20080617,102
Western,20080624,102
Western,20080701,101
Western,20080708,102
Western,20080715,100
Western,20080722,108
Western,20080729,118
Western,20080805,120
Western,20080812,120
Western,20080819,122
Western,20080826,122
Western,20080902,125
Western,20080909,123
Western,20080916,124
Western,20080923,116
Western,20080930,116
Western,20081007,114
Western,20081014,110
Western,20081021,120
Western,20081028,121
Western,20081104,117
Western,20081111,113
Western,20081118,116
Western,20081125,116
Western,20081202,118
Western,20081209,120
Western,20081216,130
Western,20081223,121
Western,20081230,118
