Name,MapDate,DSCI
Eastern,20241231,111
Eastern,20250107,102
Eastern,20250114,104
Eastern,20250121,109
Eastern,20250128,117
Eastern,20250204,122
Eastern,20250211,119
Eastern,20250218,95
Eastern,20250225,94
Eastern,20250304,106
Eastern,20250311,102
Eastern,20250318,95
Eastern,20250325,104
Eastern,20250401,107
Eastern,20250408,79
Eastern,20250415,75
Eastern,20250422,79
Eastern,20250429,79
Eastern,20250506,68
Eastern,20250513,46
Eastern,20250520,27
Eastern,20250527,20
Eastern,20250603,8
Eastern,20250610,4
Eastern,20250617,2
Eastern,20250624,2
Eastern,20250701,3
Eastern,20250708,4
Eastern,20250715,2
Eastern,20250722,5
Eastern,20250729,8
Eastern,20250805,11
Eastern,20250812,29
Eastern,20250819,41
Eastern,20250826,50
Eastern,20250902,88
Eastern,20250909,105
Eastern,20250916,139
Eastern,20250923,161
Eastern,20250930,153
Eastern,20251007,177
Eastern,20251014,166
Eastern,20251021,175
Eastern,20251028,169
Eastern,20251104,139
Eastern,20251111,130
Eastern,20251118,126
Eastern,20251125,123
Eastern,20251202,122
Eastern,20251209,123
Eastern,20251216,130
Eastern,20251223,131
Eastern,20251230,131
