Name,MapDate,DSCI
Southern,20020101,100
Southern,20020108,102
Southern,20020115,99
Southern,20020122,96
Southern,20020129,94
Southern,20020205,83
Southern,20020212,77
Southern,20020219,83
Southern,20020226,89
Southern,20020305,89
Southern,20020312,114
Southern,20020319,110
Southern,20020326,114
Southern,20020402,107
Southern,20020409,101
Southern,20020416,93
Southern,20020423,108
Southern,20020430,116
Southern,20020507,127
Southern,20020514,161
Southern,20020521,163
Southern,20020528,169
Southern,20020604,166
Southern,20020611,173
Southern,20020618,166
Southern,20020625,172
Southern,20020702,159
Southern,20020709,147
Southern,20020716,141
Southern,20020723,138
Southern,20020730,111
Southern,20020806,91
Southern,20020813,97
Southern,20020820,91
Southern,20020827,92
Southern,20020903,104
Southern,20020910,116
Southern,20020917,110
Southern,20020924,90
Southern,20021001,93
Southern,20021008,92
Southern,20021015,83
Southern,20021022,75
Southern,20021029,59
Southern,20021105,55
Southern,20021112,49
Southern,20021119,49
Southern,20021126,49
Southern,20021203,48
Southern,20021210,46
Southern,20021217,43
Southern,20021224,43
Southern,20021231,38
