Name,MapDate,DSCI
Eastern,20021231,22
Eastern,20030107,18
Eastern,20030114,21
Eastern,20030121,22
Eastern,20030128,22
Eastern,20030204,24
Eastern,20030211,28
Eastern,20030218,26
Eastern,20030225,25
Eastern,20030304,31
Eastern,20030311,26
Eastern,20030318,29
Eastern,20030325,26
Eastern,20030401,21
Eastern,20030408,15
Eastern,20030415,16
Eastern,20030422,19
Eastern,20030429,27
Eastern,20030506,23
Eastern,20030513,19
Eastern,20030520,19
Eastern,20030527,15
Eastern,20030603,13
Eastern,20030610,12
Eastern,20030617,8
Eastern,20030624,8
Eastern,20030701,11
Eastern,20030708,14
Eastern,20030715,14
Eastern,20030722,11
Eastern,20030729,6
Eastern,20030805,6
Eastern,20030812,2
Eastern,20030819,2
Eastern,20030826,2
Eastern,20030902,3
Eastern,20030909,2
Eastern,20030916,9
Eastern,20030923,10
Eastern,20030930,8
Eastern,20031007,0
Eastern,20031014,0
Eastern,20031021,0
Eastern,20031028,0
Eastern,20031104,0
Eastern,20031111,0
Eastern,20031118,0
Eastern,20031125,0
Eastern,20031202,0
Eastern,20031209,0
Eastern,20031216,0
Eastern,20031223,0
Eastern,20031230,0
