Name,MapDate,DSCI
Eastern,20161227,115
Eastern,20170103,103
Eastern,20170110,98
Eastern,20170117,95
Eastern,20170124,75
Eastern,20170131,71
Eastern,20170207,71
Eastern,20170214,72
Eastern,20170221,74
Eastern,20170228,81
Eastern,20170307,81
Eastern,20170314,78
Eastern,20170321,69
Eastern,20170328,70
Eastern,20170404,62
Eastern,20170411,54
Eastern,20170418,55
Eastern,20170425,33
Eastern,20170502,23
Eastern,20170509,14
Eastern,20170516,12
Eastern,20170523,9
Eastern,20170530,6
Eastern,20170606,1
Eastern,20170613,3
Eastern,20170620,3
Eastern,20170627,2
Eastern,20170704,3
Eastern,20170711,1
Eastern,20170718,2
Eastern,20170725,8
Eastern,20170801,14
Eastern,20170808,15
Eastern,20170815,15
Eastern,20170822,16
Eastern,20170829,19
Eastern,20170905,15
Eastern,20170912,9
Eastern,20170919,11
Eastern,20170926,21
Eastern,20171003,43
Eastern,20171010,51
Eastern,20171017,57
Eastern,20171024,65
Eastern,20171031,26
Eastern,20171107,24
Eastern,20171114,26
Eastern,20171121,25
Eastern,20171128,31
Eastern,20171205,44
Eastern,20171212,45
Eastern,20171219,50
Eastern,20171226,52
