Name,MapDate,DSCI
Western,20091229,120
Western,20100105,123
Western,20100112,137
Western,20100119,134
Western,20100126,99
Western,20100202,97
Western,20100209,100
Western,20100216,105
Western,20100223,105
Western,20100302,103
Western,20100309,108
Western,20100316,104
Western,20100323,102
Western,20100330,96
Western,20100406,94
Western,20100413,95
Western,20100420,91
Western,20100427,91
Western,20100504,88
Western,20100511,83
Western,20100518,77
Western,20100525,68
Western,20100601,65
Western,20100608,53
Western,20100615,49
Western,20100622,44
Western,20100629,40
Western,20100706,36
Western,20100713,36
Western,20100720,39
Western,20100727,40
Western,20100803,38
Western,20100810,36
Western,20100817,36
Western,20100824,35
Western,20100831,36
Western,20100907,36
Western,20100914,36
Western,20100921,36
Western,20100928,42
Western,20101005,42
Western,20101012,38
Western,20101019,38
Western,20101026,28
Western,20101102,28
Western,20101109,28
Western,20101116,28
Western,20101123,25
Western,20101130,24
Western,20101207,31
Western,20101214,29
Western,20101221,24
Western,20101228,17
