Name,MapDate,DSCI
Eastern,20221227,36
Eastern,20230103,31
Eastern,20230110,26
Eastern,20230117,26
Eastern,20230124,21
Eastern,20230131,14
Eastern,20230207,8
Eastern,20230214,5
Eastern,20230221,5
Eastern,20230228,5
Eastern,20230307,6
Eastern,20230314,5
Eastern,20230321,12
Eastern,20230328,22
Eastern,20230404,30
Eastern,20230411,24
Eastern,20230418,31
Eastern,20230425,32
Eastern,20230502,14
Eastern,20230509,13
Eastern,20230516,16
Eastern,20230523,12
Eastern,20230530,41
Eastern,20230606,74
Eastern,20230613,88
Eastern,20230620,86
Eastern,20230627,69
Eastern,20230704,60
Eastern,20230711,47
Eastern,20230718,30
Eastern,20230725,21
Eastern,20230801,15
Eastern,20230808,14
Eastern,20230815,16
Eastern,20230822,21
Eastern,20230829,22
Eastern,20230905,21
Eastern,20230912,19
Eastern,20230919,30
Eastern,20230926,33
Eastern,20231003,44
Eastern,20231010,52
Eastern,20231017,54
Eastern,20231024,50
Eastern,20231031,61
Eastern,20231107,75
Eastern,20231114,83
Eastern,20231121,96
Eastern,20231128,81
Eastern,20231205,81
Eastern,20231212,70
Eastern,20231219,54
Eastern,20231226,50
