Name,MapDate,DSCI
Eastern,20201229,17
Eastern,20210105,14
Eastern,20210112,15
Eastern,20210119,15
Eastern,20210126,16
Eastern,20210202,14
Eastern,20210209,14
Eastern,20210216,13
Eastern,20210223,13
Eastern,20210302,13
Eastern,20210309,20
Eastern,20210316,22
Eastern,20210323,24
Eastern,20210330,30
Eastern,20210406,33
Eastern,20210413,39
Eastern,20210420,50
Eastern,20210427,61
Eastern,20210504,56
Eastern,20210511,32
Eastern,20210518,35
Eastern,20210525,63
Eastern,20210601,69
Eastern,20210608,64
Eastern,20210615,49
Eastern,20210622,49
Eastern,20210629,52
Eastern,20210706,50
Eastern,20210713,33
Eastern,20210720,27
Eastern,20210727,26
Eastern,20210803,30
Eastern,20210810,37
Eastern,20210817,33
Eastern,20210824,25
Eastern,20210831,25
Eastern,20210907,22
Eastern,20210914,18
Eastern,20210921,18
Eastern,20210928,10
Eastern,20211005,16
Eastern,20211012,18
Eastern,20211019,19
Eastern,20211026,25
Eastern,20211102,24
Eastern,20211109,26
Eastern,20211116,32
Eastern,20211123,38
Eastern,20211130,48
Eastern,20211207,67
Eastern,20211214,68
Eastern,20211221,72
Eastern,20211228,75
