Name,MapDate,DSCI
Alaska,20000104,0
Alaska,20000111,0
Alaska,20000118,0
Alaska,20000125,0
Alaska,20000201,0
Alaska,20000208,0
Alaska,20000215,0
Alaska,20000222,0
Alaska,20000229,0
Alaska,20000307,0
Alaska,20000314,0
Alaska,20000321,0
Alaska,20000328,0
Alaska,20000404,0
Alaska,20000411,0
Alaska,20000418,0
Alaska,20000425,0
Alaska,20000502,0
Alaska,20000509,0
Alaska,20000516,0
Alaska,20000523,0
Alaska,20000530,0
Alaska,20000606,0
Alaska,20000613,0
Alaska,20000620,0
Alaska,20000627,8
Alaska,20000704,40
Alaska,20000711,44
Alaska,20000718,17
Alaska,20000725,8
Alaska,20000801,0
Alaska,20000808,0
Alaska,20000815,0
Alaska,20000822,0
Alaska,20000829,0
Alaska,20000905,0
Alaska,20000912,0
Alaska,20000919,0
Alaska,20000926,0
Alaska,20001003,0
Alaska,20001010,0
Alaska,20001017,0
Alaska,20001024,0
Alaska,20001031,0
Alaska,20001107,0
Alaska,20001114,0
Alaska,20001121,0
Alaska,20001128,0
Alaska,20001205,0
Alaska,20001212,0
Alaska,20001219,0
Alaska,20001226,0
