Name,MapDate,DSCI
CONUS,20130101,204
CONUS,20130108,201
CONUS,20130115,195
CONUS,20130122,193
CONUS,20130129,194
CONUS,20130205,191
CONUS,20130212,184
CONUS,20130219,185
CONUS,20130226,179
CONUS,20130305,178
CONUS,20130312,172
CONUS,20130319,175
CONUS,20130326,174
CONUS,20130402,176
CONUS,20130409,171
CONUS,20130416,159
CONUS,20130423,157
CONUS,20130430,157
CONUS,20130507,162
CONUS,20130514,160
CONUS,20130521,156
CONUS,20130528,147
CONUS,20130604,144
CONUS,20130611,142
CONUS,20130618,145
CONUS,20130625,145
CONUS,20130702,146
CONUS,20130709,149
CONUS,20130716,152
CONUS,20130723,155
CONUS,20130730,150
CONUS,20130806,150
CONUS,20130813,148
CONUS,20130820,150
CONUS,20130827,158
CONUS,20130903,155
CONUS,20130910,159
CONUS,20130917,148
CONUS,20130924,137
CONUS,20131001,126
CONUS,20131008,119
CONUS,20131015,113
CONUS,20131022,111
CONUS,20131029,112
CONUS,20131105,108
CONUS,20131112,108
CONUS,20131119,113
CONUS,20131126,107
CONUS,20131203,107
CONUS,20131210,106
CONUS,20131217,109
CONUS,20131224,106
CONUS,20131231,104
