Name,MapDate,DSCI
Alaska,20231226,0
Alaska,20240102,0
Alaska,20240109,0
Alaska,20240116,0
Alaska,20240123,0
Alaska,20240130,0
Alaska,20240206,0
Alaska,20240213,0
Alaska,20240220,0
Alaska,20240227,0
Alaska,20240305,0
Alaska,20240312,0
Alaska,20240319,0
Alaska,20240326,0
Alaska,20240402,0
Alaska,20240409,3
Alaska,20240416,3
Alaska,20240423,3
Alaska,20240430,3
Alaska,20240507,3
Alaska,20240514,3
Alaska,20240521,4
Alaska,20240528,3
Alaska,20240604,3
Alaska,20240611,3
Alaska,20240618,3
Alaska,20240625,8
Alaska,20240702,13
Alaska,20240709,7
Alaska,20240716,8
Alaska,20240723,8
Alaska,20240730,6
Alaska,20240806,6
Alaska,20240813,5
Alaska,20240820,5
Alaska,20240827,5
Alaska,20240903,5
Alaska,20240910,5
Alaska,20240917,3
Alaska,20240924,3
Alaska,20241001,3
Alaska,20241008,3
Alaska,20241015,1
Alaska,20241022,1
Alaska,20241029,1
Alaska,20241105,1
Alaska,20241112,1
Alaska,20241119,0
Alaska,20241126,0
Alaska,20241203,0
Alaska,20241210,0
Alaska,20241217,0
Alaska,20241224,0
Alaska,20241231,6
