Name,MapDate,DSCI
Southern,20161227,121
Southern,20170103,97
Southern,20170110,96
Southern,20170117,88
Southern,20170124,59
Southern,20170131,59
Southern,20170207,60
Southern,20170214,62
Southern,20170221,64
Southern,20170228,76
Southern,20170307,81
Southern,20170314,80
Southern,20170321,97
Southern,20170328,92
Southern,20170404,69
Southern,20170411,66
Southern,20170418,66
Southern,20170425,55
Southern,20170502,44
Southern,20170509,46
Southern,20170516,53
Southern,20170523,39
Southern,20170530,41
Southern,20170606,28
Southern,20170613,23
Southern,20170620,23
Southern,20170627,24
Southern,20170704,20
Southern,20170711,19
Southern,20170718,21
Southern,20170725,23
Southern,20170801,19
Southern,20170808,14
Southern,20170815,6
Southern,20170822,6
Southern,20170829,3
Southern,20170905,3
Southern,20170912,5
Southern,20170919,14
Southern,20170926,22
Southern,20171003,22
Southern,20171010,21
Southern,20171017,30
Southern,20171024,30
Southern,20171031,34
Southern,20171107,44
Southern,20171114,59
Southern,20171121,78
Southern,20171128,107
Southern,20171205,118
Southern,20171212,124
Southern,20171219,124
Southern,20171226,109
