Name,MapDate,DSCI
Southern,20061226,120
Southern,20070102,112
Southern,20070109,101
Southern,20070116,91
Southern,20070123,68
Southern,20070130,66
Southern,20070206,64
Southern,20070213,70
Southern,20070220,72
Southern,20070227,74
Southern,20070306,77
Southern,20070313,91
Southern,20070320,96
Southern,20070327,105
Southern,20070403,86
Southern,20070410,87
Southern,20070417,75
Southern,20070424,93
Southern,20070501,97
Southern,20070508,99
Southern,20070515,101
Southern,20070522,110
Southern,20070529,115
Southern,20070605,115
Southern,20070612,117
Southern,20070619,119
Southern,20070626,115
Southern,20070703,110
Southern,20070710,93
Southern,20070717,91
Southern,20070724,90
Southern,20070731,95
Southern,20070807,99
Southern,20070814,110
Southern,20070821,120
Southern,20070828,121
Southern,20070904,109
Southern,20070911,102
Southern,20070918,95
Southern,20070925,93
Southern,20071002,95
Southern,20071009,97
Southern,20071016,108
Southern,20071023,86
Southern,20071030,71
Southern,20071106,80
Southern,20071113,98
Southern,20071120,109
Southern,20071127,92
Southern,20071204,105
Southern,20071211,106
Southern,20071218,98
Southern,20071225,98
