Name,MapDate,DSCI
Alaska,20201229,9
Alaska,20210105,9
Alaska,20210112,16
Alaska,20210119,16
Alaska,20210126,16
Alaska,20210202,19
Alaska,20210209,19
Alaska,20210216,19
Alaska,20210223,19
Alaska,20210302,21
Alaska,20210309,35
Alaska,20210316,35
Alaska,20210323,35
Alaska,20210330,35
Alaska,20210406,29
Alaska,20210413,21
Alaska,20210420,21
Alaska,20210427,21
Alaska,20210504,21
Alaska,20210511,21
Alaska,20210518,21
Alaska,20210525,21
Alaska,20210601,21
Alaska,20210608,14
Alaska,20210615,14
Alaska,20210622,14
Alaska,20210629,14
Alaska,20210706,26
Alaska,20210713,26
Alaska,20210720,37
Alaska,20210727,34
Alaska,20210803,31
Alaska,20210810,25
Alaska,20210817,25
Alaska,20210824,13
Alaska,20210831,0
Alaska,20210907,0
Alaska,20210914,0
Alaska,20210921,0
Alaska,20210928,0
Alaska,20211005,0
Alaska,20211012,0
Alaska,20211019,0
Alaska,20211026,0
Alaska,20211102,0
Alaska,20211109,0
Alaska,20211116,0
Alaska,20211123,0
Alaska,20211130,0
Alaska,20211207,0
Alaska,20211214,0
Alaska,20211221,0
Alaska,20211228,0
