Name,MapDate,DSCI
CONUS,20190101,68
CONUS,20190108,67
CONUS,20190115,67
CONUS,20190122,61
CONUS,20190129,55
CONUS,20190205,55
CONUS,20190212,56
CONUS,20190219,52
CONUS,20190226,43
CONUS,20190305,42
CONUS,20190312,31
CONUS,20190319,25
CONUS,20190326,24
CONUS,20190402,27
CONUS,20190409,23
CONUS,20190416,19
CONUS,20190423,15
CONUS,20190430,14
CONUS,20190507,12
CONUS,20190514,11
CONUS,20190521,12
CONUS,20190528,15
CONUS,20190604,19
CONUS,20190611,15
CONUS,20190618,15
CONUS,20190625,14
CONUS,20190702,14
CONUS,20190709,15
CONUS,20190716,14
CONUS,20190723,14
CONUS,20190730,18
CONUS,20190806,24
CONUS,20190813,31
CONUS,20190820,35
CONUS,20190827,39
CONUS,20190903,41
CONUS,20190910,48
CONUS,20190917,52
CONUS,20190924,61
CONUS,20191001,65
CONUS,20191008,66
CONUS,20191015,72
CONUS,20191022,68
CONUS,20191029,59
CONUS,20191105,50
CONUS,20191112,50
CONUS,20191119,50
CONUS,20191126,53
CONUS,20191203,48
CONUS,20191210,44
CONUS,20191217,44
CONUS,20191224,42
CONUS,20191231,39
