Name,MapDate,DSCI
Southern,20021231,38
Southern,20030107,39
Southern,20030114,40
Southern,20030121,38
Southern,20030128,40
Southern,20030204,41
Southern,20030211,41
Southern,20030218,41
Southern,20030225,36
Southern,20030304,36
Southern,20030311,43
Southern,20030318,43
Southern,20030325,41
Southern,20030401,45
Southern,20030408,47
Southern,20030415,54
Southern,20030422,54
Southern,20030429,81
Southern,20030506,95
Southern,20030513,118
Southern,20030520,135
Southern,20030527,128
Southern,20030603,135
Southern,20030610,126
Southern,20030617,100
Southern,20030624,91
Southern,20030701,77
Southern,20030708,61
Southern,20030715,78
Southern,20030722,83
Southern,20030729,97
Southern,20030805,106
Southern,20030812,113
Southern,20030819,113
Southern,20030826,116
Southern,20030902,99
Southern,20030909,101
Southern,20030916,95
Southern,20030923,95
Southern,20030930,88
Southern,20031007,84
Southern,20031014,85
Southern,20031021,88
Southern,20031028,96
Southern,20031104,101
Southern,20031111,111
Southern,20031118,104
Southern,20031125,102
Southern,20031202,99
Southern,20031209,105
Southern,20031216,103
Southern,20031223,107
Southern,20031230,111
