Name,MapDate,DSCI
Eastern,20191231,1
Eastern,20200107,1
Eastern,20200114,1
Eastern,20200121,4
Eastern,20200128,6
Eastern,20200204,6
Eastern,20200211,0
Eastern,20200218,0
Eastern,20200225,0
Eastern,20200303,0
Eastern,20200310,0
Eastern,20200317,3
Eastern,20200324,2
Eastern,20200331,0
Eastern,20200407,0
Eastern,20200414,0
Eastern,20200421,0
Eastern,20200428,0
Eastern,20200505,0
Eastern,20200512,0
Eastern,20200519,2
Eastern,20200526,3
Eastern,20200602,5
Eastern,20200609,17
Eastern,20200616,20
Eastern,20200623,33
Eastern,20200630,34
Eastern,20200707,62
Eastern,20200714,59
Eastern,20200721,70
Eastern,20200728,78
Eastern,20200804,65
Eastern,20200811,57
Eastern,20200818,64
Eastern,20200825,67
Eastern,20200901,55
Eastern,20200908,55
Eastern,20200915,61
Eastern,20200922,67
Eastern,20200929,84
Eastern,20201006,88
Eastern,20201013,87
Eastern,20201020,77
Eastern,20201027,75
Eastern,20201103,59
Eastern,20201110,60
Eastern,20201117,56
Eastern,20201124,54
Eastern,20201201,44
Eastern,20201208,35
Eastern,20201215,34
Eastern,20201222,34
Eastern,20201229,17
