Name,MapDate,DSCI
CONUS,20241231,125
CONUS,20250107,121
CONUS,20250114,120
CONUS,20250121,122
CONUS,20250128,126
CONUS,20250204,137
CONUS,20250211,141
CONUS,20250218,133
CONUS,20250225,133
CONUS,20250304,139
CONUS,20250311,138
CONUS,20250318,141
CONUS,20250325,143
CONUS,20250401,141
CONUS,20250408,126
CONUS,20250415,128
CONUS,20250422,130
CONUS,20250429,124
CONUS,20250506,121
CONUS,20250513,117
CONUS,20250520,112
CONUS,20250527,109
CONUS,20250603,104
CONUS,20250610,100
CONUS,20250617,98
CONUS,20250624,102
CONUS,20250701,104
CONUS,20250708,102
CONUS,20250715,102
CONUS,20250722,100
CONUS,20250729,101
CONUS,20250805,99
CONUS,20250812,104
CONUS,20250819,110
CONUS,20250826,112
CONUS,20250902,120
CONUS,20250909,124
CONUS,20250916,137
CONUS,20250923,141
CONUS,20250930,142
CONUS,20251007,148
CONUS,20251014,148
CONUS,20251021,144
CONUS,20251028,138
CONUS,20251104,136
CONUS,20251111,136
CONUS,20251118,138
CONUS,20251125,131
CONUS,20251202,127
CONUS,20251209,123
CONUS,20251216,124
CONUS,20251223,127
CONUS,20251230,129
