Name,MapDate,DSCI
Eastern,20231226,50
Eastern,20240102,42
Eastern,20240109,31
Eastern,20240116,12
Eastern,20240123,11
Eastern,20240130,3
Eastern,20240206,3
Eastern,20240213,3
Eastern,20240220,7
Eastern,20240227,9
Eastern,20240305,8
Eastern,20240312,5
Eastern,20240319,4
Eastern,20240326,4
Eastern,20240402,4
Eastern,20240409,3
Eastern,20240416,5
Eastern,20240423,7
Eastern,20240430,13
Eastern,20240507,9
Eastern,20240514,11
Eastern,20240521,3
Eastern,20240528,3
Eastern,20240604,7
Eastern,20240611,11
Eastern,20240618,50
Eastern,20240625,97
Eastern,20240702,105
Eastern,20240709,112
Eastern,20240716,117
Eastern,20240723,103
Eastern,20240730,96
Eastern,20240806,79
Eastern,20240813,54
Eastern,20240820,54
Eastern,20240827,62
Eastern,20240903,71
Eastern,20240910,87
Eastern,20240917,102
Eastern,20240924,119
Eastern,20241001,73
Eastern,20241008,79
Eastern,20241015,81
Eastern,20241022,91
Eastern,20241029,133
Eastern,20241105,164
Eastern,20241112,167
Eastern,20241119,166
Eastern,20241126,159
Eastern,20241203,170
Eastern,20241210,170
Eastern,20241217,133
Eastern,20241224,124
Eastern,20241231,111
