Name,MapDate,DSCI
Southern,20221227,137
Southern,20230103,128
Southern,20230110,124
Southern,20230117,124
Southern,20230124,120
Southern,20230131,118
Southern,20230207,116
Southern,20230214,111
Southern,20230221,112
Southern,20230228,116
Southern,20230307,120
Southern,20230314,121
Southern,20230321,121
Southern,20230328,127
Southern,20230404,125
Southern,20230411,117
Southern,20230418,118
Southern,20230425,116
Southern,20230502,108
Southern,20230509,106
Southern,20230516,95
Southern,20230523,85
Southern,20230530,78
Southern,20230606,72
Southern,20230613,72
Southern,20230620,71
Southern,20230627,72
Southern,20230704,75
Southern,20230711,71
Southern,20230718,79
Southern,20230725,89
Southern,20230801,96
Southern,20230808,112
Southern,20230815,129
Southern,20230822,171
Southern,20230829,182
Southern,20230905,194
Southern,20230912,204
Southern,20230919,216
Southern,20230926,219
Southern,20231003,230
Southern,20231010,223
Southern,20231017,232
Southern,20231024,241
Southern,20231031,224
Southern,20231107,233
Southern,20231114,228
Southern,20231121,220
Southern,20231128,207
Southern,20231205,198
Southern,20231212,191
Southern,20231219,191
Southern,20231226,185
