Name,MapDate,DSCI
Southern,20081230,61
Southern,20090106,66
Southern,20090113,81
Southern,20090120,83
Southern,20090127,105
Southern,20090203,113
Southern,20090210,127
Southern,20090217,123
Southern,20090224,130
Southern,20090303,146
Southern,20090310,156
Southern,20090317,151
Southern,20090324,157
Southern,20090331,133
Southern,20090407,124
Southern,20090414,116
Southern,20090421,111
Southern,20090428,107
Southern,20090505,98
Southern,20090512,101
Southern,20090519,94
Southern,20090526,76
Southern,20090602,73
Southern,20090609,80
Southern,20090616,81
Southern,20090623,81
Southern,20090630,89
Southern,20090707,88
Southern,20090714,96
Southern,20090721,93
Southern,20090728,84
Southern,20090804,72
Southern,20090811,71
Southern,20090818,72
Southern,20090825,72
Southern,20090901,68
Southern,20090908,66
Southern,20090915,50
Southern,20090922,43
Southern,20090929,39
Southern,20091006,31
Southern,20091013,32
Southern,20091020,35
Southern,20091027,25
Southern,20091103,24
Southern,20091110,26
Southern,20091117,28
Southern,20091124,31
Southern,20091201,29
Southern,20091208,25
Southern,20091215,23
Southern,20091222,21
Southern,20091229,20
