Name,MapDate,DSCI
Eastern,20131231,21
Eastern,20140107,21
Eastern,20140114,11
Eastern,20140121,7
Eastern,20140128,7
Eastern,20140204,8
Eastern,20140211,7
Eastern,20140218,4
Eastern,20140225,2
Eastern,20140304,2
Eastern,20140311,2
Eastern,20140318,2
Eastern,20140325,2
Eastern,20140401,2
Eastern,20140408,1
Eastern,20140415,1
Eastern,20140422,2
Eastern,20140429,1
Eastern,20140506,6
Eastern,20140513,6
Eastern,20140520,1
Eastern,20140527,1
Eastern,20140603,1
Eastern,20140610,2
Eastern,20140617,2
Eastern,20140624,4
Eastern,20140701,5
Eastern,20140708,9
Eastern,20140715,12
Eastern,20140722,13
Eastern,20140729,12
Eastern,20140805,10
Eastern,20140812,8
Eastern,20140819,7
Eastern,20140826,6
Eastern,20140902,10
Eastern,20140909,11
Eastern,20140916,14
Eastern,20140923,28
Eastern,20140930,34
Eastern,20141007,32
Eastern,20141014,35
Eastern,20141021,28
Eastern,20141028,22
Eastern,20141104,25
Eastern,20141111,29
Eastern,20141118,34
Eastern,20141125,28
Eastern,20141202,25
Eastern,20141209,25
Eastern,20141216,21
Eastern,20141223,21
Eastern,20141230,12
