Name,MapDate,DSCI
Western,20141230,211
Western,20150106,210
Western,20150113,210
Western,20150120,209
Western,20150127,213
Western,20150203,209
Western,20150210,205
Western,20150217,206
Western,20150224,210
Western,20150303,208
Western,20150310,209
Western,20150317,210
Western,20150324,214
Western,20150331,217
Western,20150407,219
Western,20150414,221
Western,20150421,223
Western,20150428,232
Western,20150505,238
Western,20150512,239
Western,20150519,240
Western,20150526,241
Western,20150602,243
Western,20150609,239
Western,20150616,240
Western,20150623,252
Western,20150630,260
Western,20150707,272
Western,20150714,273
Western,20150721,270
Western,20150728,274
Western,20150804,274
Western,20150811,275
Western,20150818,274
Western,20150825,282
Western,20150901,282
Western,20150908,282
Western,20150915,282
Western,20150922,280
Western,20150929,279
Western,20151006,274
Western,20151013,273
Western,20151020,271
Western,20151027,269
Western,20151103,258
Western,20151110,254
Western,20151117,252
Western,20151124,248
Western,20151201,245
Western,20151208,241
Western,20151215,229
Western,20151222,225
Western,20151229,216
