Name,MapDate,DSCI
Western,20211228,296
Western,20220104,275
Western,20220111,267
Western,20220118,265
Western,20220125,265
Western,20220201,265
Western,20220208,266
Western,20220215,267
Western,20220222,268
Western,20220301,282
Western,20220308,280
Western,20220315,285
Western,20220322,285
Western,20220329,285
Western,20220405,297
Western,20220412,300
Western,20220419,297
Western,20220426,296
Western,20220503,290
Western,20220510,292
Western,20220517,294
Western,20220524,295
Western,20220531,290
Western,20220607,284
Western,20220614,267
Western,20220621,262
Western,20220628,255
Western,20220705,253
Western,20220712,251
Western,20220719,249
Western,20220726,246
Western,20220802,244
Western,20220809,238
Western,20220816,234
Western,20220823,234
Western,20220830,236
Western,20220906,237
Western,20220913,248
Western,20220920,256
Western,20220927,262
Western,20221004,261
Western,20221011,262
Western,20221018,265
Western,20221025,266
Western,20221101,267
Western,20221108,255
Western,20221115,253
Western,20221122,252
Western,20221129,250
Western,20221206,244
Western,20221213,235
Western,20221220,234
Western,20221227,234
