Name,MapDate,DSCI
CONUS,20231226,111
CONUS,20240102,112
CONUS,20240109,107
CONUS,20240116,99
CONUS,20240123,95
CONUS,20240130,81
CONUS,20240206,74
CONUS,20240213,69
CONUS,20240220,70
CONUS,20240227,78
CONUS,20240305,79
CONUS,20240312,77
CONUS,20240319,74
CONUS,20240326,67
CONUS,20240402,66
CONUS,20240409,62
CONUS,20240416,63
CONUS,20240423,63
CONUS,20240430,61
CONUS,20240507,56
CONUS,20240514,51
CONUS,20240521,45
CONUS,20240528,44
CONUS,20240604,43
CONUS,20240611,45
CONUS,20240618,53
CONUS,20240625,65
CONUS,20240702,71
CONUS,20240709,74
CONUS,20240716,79
CONUS,20240723,75
CONUS,20240730,76
CONUS,20240806,82
CONUS,20240813,82
CONUS,20240820,89
CONUS,20240827,104
CONUS,20240903,107
CONUS,20240910,117
CONUS,20240917,120
CONUS,20240924,121
CONUS,20241001,115
CONUS,20241008,133
CONUS,20241015,146
CONUS,20241022,155
CONUS,20241029,176
CONUS,20241105,167
CONUS,20241112,159
CONUS,20241119,146
CONUS,20241126,137
CONUS,20241203,137
CONUS,20241210,138
CONUS,20241217,129
CONUS,20241224,130
CONUS,20241231,125
