Name,MapDate,DSCI
Eastern,20111227,39
Eastern,20120103,41
Eastern,20120110,46
Eastern,20120117,55
Eastern,20120124,54
Eastern,20120131,58
Eastern,20120207,62
Eastern,20120214,65
Eastern,20120221,65
Eastern,20120228,66
Eastern,20120306,59
Eastern,20120313,64
Eastern,20120320,82
Eastern,20120327,79
Eastern,20120403,91
Eastern,20120410,113
Eastern,20120417,116
Eastern,20120424,110
Eastern,20120501,110
Eastern,20120508,106
Eastern,20120515,75
Eastern,20120522,62
Eastern,20120529,60
Eastern,20120605,35
Eastern,20120612,35
Eastern,20120619,46
Eastern,20120626,55
Eastern,20120703,77
Eastern,20120710,91
Eastern,20120717,106
Eastern,20120724,103
Eastern,20120731,95
Eastern,20120807,91
Eastern,20120814,80
Eastern,20120821,73
Eastern,20120828,72
Eastern,20120904,63
Eastern,20120911,59
Eastern,20120918,59
Eastern,20120925,46
Eastern,20121002,42
Eastern,20121009,38
Eastern,20121016,41
Eastern,20121023,39
Eastern,20121030,26
Eastern,20121106,31
Eastern,20121113,39
Eastern,20121120,44
Eastern,20121127,60
Eastern,20121204,64
Eastern,20121211,62
Eastern,20121218,64
Eastern,20121225,63
