Name,MapDate,DSCI
Alaska,20101228,21
Alaska,20110104,21
Alaska,20110111,21
Alaska,20110118,21
Alaska,20110125,21
Alaska,20110201,37
Alaska,20110208,28
Alaska,20110215,26
Alaska,20110222,17
Alaska,20110301,17
Alaska,20110308,17
Alaska,20110315,18
Alaska,20110322,18
Alaska,20110329,18
Alaska,20110405,18
Alaska,20110412,18
Alaska,20110419,18
Alaska,20110426,18
Alaska,20110503,16
Alaska,20110510,16
Alaska,20110517,16
Alaska,20110524,18
Alaska,20110531,18
Alaska,20110607,26
Alaska,20110614,26
Alaska,20110621,26
Alaska,20110628,23
Alaska,20110705,21
Alaska,20110712,21
Alaska,20110719,17
Alaska,20110726,17
Alaska,20110802,14
Alaska,20110809,14
Alaska,20110816,14
Alaska,20110823,14
Alaska,20110830,14
Alaska,20110906,3
Alaska,20110913,3
Alaska,20110920,0
Alaska,20110927,0
Alaska,20111004,0
Alaska,20111011,0
Alaska,20111018,0
Alaska,20111025,0
Alaska,20111101,0
Alaska,20111108,0
Alaska,20111115,0
Alaska,20111122,0
Alaska,20111129,0
Alaska,20111206,0
Alaska,20111213,0
Alaska,20111220,0
Alaska,20111227,0
