Name,MapDate,DSCI
Eastern,20171226,52
Eastern,20180102,58
Eastern,20180109,58
Eastern,20180116,57
Eastern,20180123,59
Eastern,20180130,52
Eastern,20180206,49
Eastern,20180213,23
Eastern,20180220,23
Eastern,20180227,21
Eastern,20180306,24
Eastern,20180313,25
Eastern,20180320,25
Eastern,20180327,25
Eastern,20180403,29
Eastern,20180410,34
Eastern,20180417,26
Eastern,20180424,20
Eastern,20180501,15
Eastern,20180508,16
Eastern,20180515,15
Eastern,20180522,6
Eastern,20180529,1
Eastern,20180605,4
Eastern,20180612,4
Eastern,20180619,16
Eastern,20180626,20
Eastern,20180703,22
Eastern,20180710,27
Eastern,20180717,34
Eastern,20180724,30
Eastern,20180731,23
Eastern,20180807,20
Eastern,20180814,19
Eastern,20180821,16
Eastern,20180828,17
Eastern,20180904,22
Eastern,20180911,18
Eastern,20180918,15
Eastern,20180925,17
Eastern,20181002,19
Eastern,20181009,19
Eastern,20181016,15
Eastern,20181023,14
Eastern,20181030,10
Eastern,20181106,9
Eastern,20181113,6
Eastern,20181120,5
Eastern,20181127,5
Eastern,20181204,3
Eastern,20181211,2
Eastern,20181218,2
Eastern,20181225,2
