Name,MapDate,DSCI
Eastern,20151229,30
Eastern,20160105,24
Eastern,20160112,21
Eastern,20160119,21
Eastern,20160126,17
Eastern,20160202,18
Eastern,20160209,17
Eastern,20160216,17
Eastern,20160223,10
Eastern,20160301,2
Eastern,20160308,3
Eastern,20160315,4
Eastern,20160322,4
Eastern,20160329,8
Eastern,20160405,12
Eastern,20160412,16
Eastern,20160419,37
Eastern,20160426,50
Eastern,20160503,47
Eastern,20160510,29
Eastern,20160517,29
Eastern,20160524,28
Eastern,20160531,29
Eastern,20160607,32
Eastern,20160614,38
Eastern,20160621,56
Eastern,20160628,57
Eastern,20160705,64
Eastern,20160712,70
Eastern,20160719,74
Eastern,20160726,81
Eastern,20160802,76
Eastern,20160809,78
Eastern,20160816,72
Eastern,20160823,70
Eastern,20160830,76
Eastern,20160906,73
Eastern,20160913,93
Eastern,20160920,95
Eastern,20160927,107
Eastern,20161004,87
Eastern,20161011,92
Eastern,20161018,106
Eastern,20161025,98
Eastern,20161101,98
Eastern,20161108,103
Eastern,20161115,125
Eastern,20161122,137
Eastern,20161129,139
Eastern,20161206,135
Eastern,20161213,130
Eastern,20161220,118
Eastern,20161227,115
