Name,MapDate,DSCI
Eastern,20081230,36
Eastern,20090106,34
Eastern,20090113,30
Eastern,20090120,29
Eastern,20090127,32
Eastern,20090203,26
Eastern,20090210,50
Eastern,20090217,56
Eastern,20090224,57
Eastern,20090303,51
Eastern,20090310,52
Eastern,20090317,47
Eastern,20090324,69
Eastern,20090331,62
Eastern,20090407,53
Eastern,20090414,46
Eastern,20090421,37
Eastern,20090428,49
Eastern,20090505,34
Eastern,20090512,19
Eastern,20090519,8
Eastern,20090526,9
Eastern,20090602,4
Eastern,20090609,9
Eastern,20090616,8
Eastern,20090623,5
Eastern,20090630,7
Eastern,20090707,14
Eastern,20090714,14
Eastern,20090721,23
Eastern,20090728,22
Eastern,20090804,19
Eastern,20090811,19
Eastern,20090818,24
Eastern,20090825,16
Eastern,20090901,16
Eastern,20090908,20
Eastern,20090915,32
Eastern,20090922,48
Eastern,20090929,33
Eastern,20091006,29
Eastern,20091013,19
Eastern,20091020,19
Eastern,20091027,23
Eastern,20091103,19
Eastern,20091110,19
Eastern,20091117,7
Eastern,20091124,5
Eastern,20091201,5
Eastern,20091208,1
Eastern,20091215,0
Eastern,20091222,0
Eastern,20091229,0
